读者ID,ISBN,品类,年龄区间,性别,单次购买力区间,复购,购买日期
R12118,9788121913619,科技,26-35,男,50-100,0,2025-09-01
R14952,9788121913619,科技,26-35,女,50-100,0,2025-09-01
R89320,9788121913619,科技,46-55,男,50-100,0,2025-09-01
R42869,9789985435346,科技,18-25,男,50-100,0,2025-09-01
R27037,9789985435346,科技,46-55,女,50-100,1,2025-09-01
R89918,9789985435346,科技,18-25,男,50-100,0,2025-09-01
R94839,9789985435346,科技,26-35,男,50-100,1,2025-09-01
R92059,9789985435346,科技,18-25,女,50-100,0,2025-09-01
R22014,9781079911838,科技,46-55,男,50-100,0,2025-09-01
R81299,9781079911838,科技,26-35,男,50-100,0,2025-09-01
R35688,9781079911838,科技,26-35,男,50-100,0,2025-09-01
R34479,9781079911838,科技,46-55,男,50-100,1,2025-09-01
R90481,9783542784980,科技,36-45,男,50-100,1,2025-09-01
R74549,9782411824493,科技,18-25,男,50-100,0,2025-09-01
R91741,9782411824493,科技,26-35,男,50-100,0,2025-09-01
R75172,9782411824493,科技,26-35,男,50-100,0,2025-09-01
R26972,9782411824493,科技,26-35,女,50-100,1,2025-09-01
R74737,9782411824493,科技,26-35,男,50-100,0,2025-09-01
R62244,9787401640052,科技,26-35,男,50-100,0,2025-09-01
R13918,9787868011280,科技,26-35,男,50-100,0,2025-09-01
R61138,9787868011280,科技,26-35,女,50-100,0,2025-09-01
R99864,9787868011280,科技,26-35,男,50-100,0,2025-09-01
R33056,9780450533158,科技,36-45,男,50-100,0,2025-09-01
R59090,9780450533158,科技,26-35,男,50-100,1,2025-09-01
R78627,9780450533158,科技,26-35,女,50-100,0,2025-09-01
R35704,9780450533158,科技,18-25,男,50-100,1,2025-09-01
R90135,9780450533158,科技,18-25,男,50-100,1,2025-09-01
R45291,9783226025634,科技,18-25,男,50-100,0,2025-09-01
R39123,9783226025634,科技,26-35,男,50-100,0,2025-09-01
R85051,9783226025634,科技,36-45,男,50-100,0,2025-09-01
R31551,9783226025634,科技,18-25,男,50-100,1,2025-09-01
R52975,9783226025634,科技,18-25,男,50-100,1,2025-09-01
R60997,9780733754330,科技,26-35,女,50-100,1,2025-09-01
R62907,9780733754330,科技,36-45,男,50-100,0,2025-09-01
R39133,9780733754330,科技,36-45,男,50-100,1,2025-09-01
R23921,9781458685014,少儿,36-45,男,20-50,0,2025-09-01
R57946,9781458685014,少儿,26-35,女,20-50,1,2025-09-01
R78017,9781458685014,少儿,26-35,女,20-50,1,2025-09-01
R83227,9781458685014,少儿,36-45,女,20-50,0,2025-09-01
R73932,9781458685014,少儿,46-55,女,20-50,0,2025-09-01
R50189,9789655698169,少儿,46-55,男,20-50,0,2025-09-01
R98529,9789655698169,少儿,26-35,女,20-50,0,2025-09-01
R73074,9788835615951,少儿,26-35,女,20-50,0,2025-09-01
R86280,9786564823662,少儿,26-35,女,20-50,1,2025-09-01
R21273,9786564823662,少儿,26-35,男,20-50,0,2025-09-01
R50315,9786564823662,少儿,26-35,女,20-50,1,2025-09-01
R36515,9780443699577,少儿,36-45,男,20-50,1,2025-09-01
R57986,9780443699577,少儿,36-45,男,20-50,0,2025-09-01
R64982,9780443699577,少儿,36-45,男,20-50,0,2025-09-01
R68632,9782148951343,少儿,36-45,女,20-50,0,2025-09-01
R91365,9782148951343,少儿,26-35,女,20-50,1,2025-09-01
R94320,9782148951343,少儿,36-45,男,20-50,0,2025-09-01
R21421,9782148951343,少儿,36-45,女,20-50,1,2025-09-01
R25992,9783791769367,少儿,36-45,男,20-50,0,2025-09-01
R83595,9783791769367,少儿,36-45,男,20-50,1,2025-09-01
R27253,9783791769367,少儿,26-35,女,20-50,0,2025-09-01
R57315,9783791769367,少儿,26-35,女,20-50,1,2025-09-01
R79046,9783791769367,少儿,36-45,女,20-50,0,2025-09-01
R53370,9781632870831,少儿,36-45,女,20-50,0,2025-09-01
R66118,9781632870831,少儿,26-35,女,20-50,0,2025-09-01
R80636,9787986872774,少儿,36-45,女,20-50,0,2025-09-01
R31966,9787986872774,少儿,36-45,男,20-50,1,2025-09-01
R76874,9787986872774,少儿,26-35,女,20-50,0,2025-09-01
R97728,9787986872774,少儿,26-35,男,20-50,1,2025-09-01
R90432,9783471434558,少儿,36-45,女,20-50,1,2025-09-01
R49916,9783471434558,少儿,26-35,女,20-50,0,2025-09-01
R20876,9783471434558,少儿,36-45,女,20-50,0,2025-09-01
R15164,9782316658760,教辅,36-45,男,20-50,1,2025-09-01
R94848,9789096705466,教辅,18-25,男,20-50,0,2025-09-01
R40988,9789096705466,教辅,26-35,女,20-50,1,2025-09-01
R25169,9789096705466,教辅,36-45,女,20-50,0,2025-09-01
R19075,9789096705466,教辅,36-45,男,20-50,1,2025-09-01
R72983,9789096705466,教辅,18-25,女,20-50,1,2025-09-01
R99390,9784670656272,教辅,18-25,女,50-100,1,2025-09-01
R78132,9784670656272,教辅,26-35,女,50-100,0,2025-09-01
R65452,9789016272046,教辅,18-25,男,20-50,0,2025-09-01
R67811,9789016272046,教辅,18-25,女,20-50,0,2025-09-01
R27004,9786464170805,教辅,26-35,女,20-50,1,2025-09-01
R37413,9780330923271,教辅,46-55,男,20-50,0,2025-09-01
R38631,9780330923271,教辅,26-35,女,20-50,0,2025-09-01
R81219,9780330923271,教辅,18-25,女,20-50,0,2025-09-01
R26553,9784529912419,教辅,18-25,男,20-50,1,2025-09-01
R22137,9783193149190,教辅,26-35,男,20-50,1,2025-09-01
R21776,9783193149190,教辅,26-35,男,20-50,0,2025-09-01
R74164,9783193149190,教辅,26-35,男,20-50,1,2025-09-01
R70710,9783193149190,教辅,18-25,男,20-50,1,2025-09-01
R71821,9783193149190,教辅,18-25,女,20-50,0,2025-09-01
R55886,9788506716572,教辅,18-25,女,20-50,0,2025-09-01
R57603,9788506716572,教辅,18-25,女,20-50,0,2025-09-01
R14285,9786945314737,教辅,18-25,男,20-50,1,2025-09-01
R76968,9786945314737,教辅,18-25,女,20-50,0,2025-09-01
R69450,9786945314737,教辅,18-25,女,20-50,1,2025-09-01
R41600,9786945314737,教辅,26-35,女,20-50,0,2025-09-01
R82007,9786945314737,教辅,26-35,女,20-50,0,2025-09-01
R18299,9781043321819,文学,26-35,女,20-50,0,2025-10-01
R68051,9781043321819,文学,26-35,女,20-50,0,2025-10-01
R52706,9783890838637,文学,26-35,女,50-100,1,2025-10-01
R23213,9786542351161,文学,18-25,女,20-50,0,2025-10-01
R96146,9786542351161,文学,26-35,男,20-50,0,2025-10-01
R28857,9780781618495,文学,36-45,男,50-100,1,2025-10-01
R95631,9780781618495,文学,36-45,男,50-100,0,2025-10-01
R85707,9780781618495,文学,18-25,男,50-100,0,2025-10-01
R51969,9780781618495,文学,26-35,女,50-100,0,2025-10-01
R64771,9780781618495,文学,18-25,女,50-100,1,2025-10-01
R38687,9783413164752,文学,36-45,男,20-50,1,2025-10-01
R42392,9783413164752,文学,26-35,女,20-50,0,2025-10-01
R44214,9783413164752,文学,36-45,男,20-50,0,2025-10-01
R75289,9783413164752,文学,18-25,女,20-50,0,2025-10-01
R86318,9781928327648,文学,26-35,女,20-50,0,2025-10-01
R32849,9781928327648,文学,36-45,男,20-50,0,2025-10-01
R53399,9781928327648,文学,18-25,女,20-50,1,2025-10-01
R71408,9781928327648,文学,26-35,女,20-50,0,2025-10-01
R24747,9781928327648,文学,55+,女,20-50,1,2025-10-01
R78019,9780564139537,文学,46-55,女,20-50,1,2025-10-01
R98502,9780564139537,文学,26-35,女,20-50,0,2025-10-01
R57750,9780564139537,文学,26-35,女,20-50,0,2025-10-01
R17115,9780564139537,文学,46-55,女,20-50,0,2025-10-01
R15828,9780564139537,文学,26-35,男,20-50,0,2025-10-01
R84569,9782388496965,文学,18-25,男,20-50,0,2025-10-01
R58784,9782388496965,文学,36-45,女,20-50,0,2025-10-01
R41037,9782388496965,文学,46-55,女,20-50,0,2025-10-01
R17979,9782388496965,文学,18-25,男,20-50,0,2025-10-01
R15300,9782388496965,文学,18-25,女,20-50,1,2025-10-01
R94594,9780122691669,文学,18-25,男,50-100,1,2025-10-01
R85215,9780122691669,文学,18-25,女,50-100,0,2025-10-01
R55467,9780122691669,文学,26-35,女,50-100,0,2025-10-01
R37531,9780122691669,文学,55+,男,50-100,0,2025-10-01
R94267,9781845146270,文学,26-35,女,50-100,0,2025-10-01
R86923,9781845146270,文学,36-45,女,50-100,0,2025-10-01
R46331,9781489325288,社科,26-35,男,50-100,0,2025-10-01
R35277,9781489325288,社科,18-25,女,50-100,1,2025-10-01
R10643,9781489325288,社科,26-35,男,50-100,0,2025-10-01
R20832,9781489325288,社科,36-45,男,50-100,0,2025-10-01
R29029,9781543039117,社科,18-25,女,50-100,0,2025-10-01
R25476,9787824896383,社科,36-45,男,50-100,0,2025-10-01
R70338,9787824896383,社科,36-45,女,50-100,0,2025-10-01
R98268,9788713315098,社科,36-45,男,50-100,1,2025-10-01
R62782,9788713315098,社科,36-45,女,50-100,1,2025-10-01
R15485,9788713315098,社科,36-45,男,50-100,1,2025-10-01
R68522,9788713315098,社科,36-45,女,50-100,1,2025-10-01
R79357,9788713315098,社科,18-25,女,50-100,0,2025-10-01
R14852,9780310518347,社科,55+,男,20-50,0,2025-10-01
R59844,9780310518347,社科,26-35,女,20-50,0,2025-10-01
R78287,9787631165667,社科,26-35,男,50-100,1,2025-10-01
R46968,9787631165667,社科,36-45,女,50-100,1,2025-10-01
R12976,9787631165667,社科,36-45,男,50-100,0,2025-10-01
R85553,9786513338726,社科,26-35,男,20-50,0,2025-10-01
R26883,9781781080132,社科,36-45,男,50-100,1,2025-10-01
R35382,9781781080132,社科,18-25,男,50-100,0,2025-10-01
R55871,9781781080132,社科,18-25,男,50-100,0,2025-10-01
R18653,9781781080132,社科,55+,男,50-100,0,2025-10-01
R97418,9786026064746,社科,55+,女,50-100,0,2025-10-01
R86475,9786026064746,社科,36-45,女,50-100,0,2025-10-01
R25551,9784309805009,社科,18-25,男,50-100,1,2025-10-01
R57056,9784309805009,社科,36-45,女,50-100,0,2025-10-01
R60773,9784309805009,社科,18-25,女,50-100,0,2025-10-01
R37788,9784309805009,社科,36-45,男,50-100,0,2025-10-01
R13361,9788121913619,科技,26-35,女,50-100,1,2025-10-01
R17053,9788121913619,科技,26-35,女,50-100,0,2025-10-01
R74861,9789985435346,科技,26-35,男,50-100,1,2025-10-01
R91189,9789985435346,科技,18-25,男,50-100,1,2025-10-01
R21190,9789985435346,科技,26-35,男,50-100,0,2025-10-01
R12933,9789985435346,科技,36-45,男,50-100,0,2025-10-01
R46883,9789985435346,科技,18-25,男,50-100,0,2025-10-01
R30787,9781079911838,科技,18-25,男,50-100,0,2025-10-01
R94153,9781079911838,科技,46-55,女,50-100,1,2025-10-01
R47415,9781079911838,科技,18-25,男,50-100,1,2025-10-01
R75062,9783542784980,科技,36-45,男,50-100,0,2025-10-01
R69175,9783542784980,科技,18-25,男,50-100,0,2025-10-01
R50404,9783542784980,科技,26-35,男,50-100,0,2025-10-01
R87348,9783542784980,科技,26-35,男,50-100,0,2025-10-01
R42256,9782411824493,科技,26-35,男,50-100,1,2025-10-01
R27938,9782411824493,科技,26-35,男,50-100,0,2025-10-01
R82737,9787401640052,科技,18-25,男,50-100,1,2025-10-01
R64076,9787868011280,科技,36-45,女,50-100,0,2025-10-01
R74092,9780450533158,科技,18-25,男,50-100,1,2025-10-01
R68688,9783226025634,科技,26-35,男,50-100,1,2025-10-01
R24179,9783226025634,科技,46-55,男,50-100,0,2025-10-01
R70746,9783226025634,科技,55+,女,50-100,1,2025-10-01
R17062,9780733754330,科技,26-35,女,50-100,0,2025-10-01
R20447,9780733754330,科技,18-25,男,50-100,0,2025-10-01
R46116,9781458685014,少儿,26-35,男,20-50,0,2025-10-01
R62509,9781458685014,少儿,26-35,男,20-50,1,2025-10-01
R13249,9781458685014,少儿,36-45,女,20-50,1,2025-10-01
R55735,9781458685014,少儿,18-25,男,20-50,0,2025-10-01
R56574,9781458685014,少儿,26-35,女,20-50,0,2025-10-01
R25793,9789655698169,少儿,26-35,女,20-50,0,2025-10-01
R97955,9789655698169,少儿,26-35,男,20-50,0,2025-10-01
R43321,9788835615951,少儿,46-55,男,20-50,0,2025-10-01
R67253,9788835615951,少儿,26-35,男,20-50,0,2025-10-01
R86696,9788835615951,少儿,26-35,男,20-50,1,2025-10-01
R28117,9788835615951,少儿,26-35,女,20-50,0,2025-10-01
R62819,9786564823662,少儿,36-45,女,20-50,0,2025-10-01
R53297,9786564823662,少儿,26-35,男,20-50,0,2025-10-01
R18888,9786564823662,少儿,26-35,男,20-50,0,2025-10-01
R43071,9780443699577,少儿,36-45,女,20-50,1,2025-10-01
R82356,9782148951343,少儿,26-35,女,50-100,1,2025-10-01
R92716,9782148951343,少儿,36-45,女,50-100,0,2025-10-01
R51293,9782148951343,少儿,26-35,男,50-100,1,2025-10-01
R18621,9782148951343,少儿,18-25,男,50-100,0,2025-10-01
R43491,9782148951343,少儿,18-25,男,50-100,0,2025-10-01
R75130,9783791769367,少儿,36-45,女,20-50,0,2025-10-01
R89443,9783791769367,少儿,26-35,女,20-50,0,2025-10-01
R39318,9783791769367,少儿,26-35,男,20-50,0,2025-10-01
R87374,9783791769367,少儿,36-45,女,20-50,0,2025-10-01
R64339,9783791769367,少儿,26-35,男,20-50,0,2025-10-01
R23051,9781632870831,少儿,26-35,男,20-50,1,2025-10-01
R16436,9781632870831,少儿,26-35,女,20-50,0,2025-10-01
R42537,9781632870831,少儿,36-45,女,20-50,1,2025-10-01
R52247,9781632870831,少儿,26-35,男,20-50,0,2025-10-01
R90025,9787986872774,少儿,46-55,男,50-100,0,2025-10-01
R96549,9783471434558,少儿,36-45,男,20-50,1,2025-10-01
R16682,9783471434558,少儿,26-35,女,20-50,0,2025-10-01
R80851,9783471434558,少儿,26-35,女,20-50,0,2025-10-01
R63836,9783471434558,少儿,26-35,女,20-50,1,2025-10-01
R22462,9782316658760,教辅,18-25,男,20-50,0,2025-10-01
R81532,9782316658760,教辅,18-25,男,20-50,0,2025-10-01
R40829,9782316658760,教辅,18-25,女,20-50,1,2025-10-01
R68796,9789096705466,教辅,18-25,女,50-100,0,2025-10-01
R20944,9789096705466,教辅,18-25,男,50-100,0,2025-10-01
R80451,9789096705466,教辅,26-35,男,50-100,0,2025-10-01
R47980,9789096705466,教辅,18-25,男,50-100,0,2025-10-01
R19254,9789096705466,教辅,18-25,女,50-100,0,2025-10-01
R31065,9784670656272,教辅,36-45,男,50-100,0,2025-10-01
R56668,9784670656272,教辅,26-35,女,50-100,0,2025-10-01
R76433,9789016272046,教辅,18-25,女,20-50,1,2025-10-01
R80660,9789016272046,教辅,36-45,男,20-50,1,2025-10-01
R44013,9789016272046,教辅,18-25,男,20-50,0,2025-10-01
R51969,9789016272046,教辅,18-25,女,20-50,0,2025-10-01
R83849,9786464170805,教辅,36-45,女,20-50,1,2025-10-01
R21993,9786464170805,教辅,26-35,女,20-50,0,2025-10-01
R30687,9786464170805,教辅,18-25,男,20-50,0,2025-10-01
R87388,9786464170805,教辅,26-35,男,20-50,1,2025-10-01
R29718,9780330923271,教辅,36-45,女,50-100,0,2025-10-01
R85837,9780330923271,教辅,18-25,女,50-100,0,2025-10-01
R72539,9780330923271,教辅,36-45,男,50-100,0,2025-10-01
R15653,9780330923271,教辅,46-55,男,50-100,0,2025-10-01
R25455,9780330923271,教辅,26-35,女,50-100,1,2025-10-01
R15769,9784529912419,教辅,18-25,男,20-50,0,2025-10-01
R42520,9784529912419,教辅,18-25,女,20-50,1,2025-10-01
R82510,9784529912419,教辅,26-35,女,20-50,0,2025-10-01
R59464,9784529912419,教辅,18-25,女,20-50,1,2025-10-01
R33819,9783193149190,教辅,46-55,女,20-50,1,2025-10-01
R89265,9783193149190,教辅,26-35,女,20-50,0,2025-10-01
R47098,9783193149190,教辅,55+,男,20-50,0,2025-10-01
R81669,9783193149190,教辅,36-45,男,20-50,1,2025-10-01
R77069,9788506716572,教辅,26-35,女,50-100,1,2025-10-01
R11522,9788506716572,教辅,26-35,女,50-100,1,2025-10-01
R60585,9788506716572,教辅,18-25,女,50-100,1,2025-10-01
R56605,9788506716572,教辅,18-25,男,50-100,0,2025-10-01
R26391,9786945314737,教辅,46-55,女,50-100,1,2025-10-01
R39098,9786945314737,教辅,36-45,男,50-100,1,2025-10-01
R75773,9786945314737,教辅,18-25,女,50-100,1,2025-10-01
R67135,9786945314737,教辅,18-25,女,50-100,1,2025-10-01
R72852,9786945314737,教辅,18-25,女,50-100,1,2025-10-01
R65694,9781043321819,文学,36-45,女,50-100,1,2025-10-01
R24804,9783890838637,文学,36-45,女,50-100,0,2025-10-01
R42543,9783890838637,文学,55+,女,50-100,0,2025-10-01
R63396,9786542351161,文学,26-35,男,50-100,1,2025-10-01
R63429,9786542351161,文学,36-45,女,50-100,0,2025-10-01
R52102,9780781618495,文学,36-45,女,50-100,0,2025-10-01
R53574,9780781618495,文学,26-35,男,50-100,0,2025-10-01
R31702,9780781618495,文学,46-55,男,50-100,0,2025-10-01
R26327,9783413164752,文学,36-45,女,50-100,0,2025-10-01
R95234,9783413164752,文学,36-45,女,50-100,1,2025-10-01
R47899,9783413164752,文学,26-35,女,50-100,0,2025-10-01
R71609,9781928327648,文学,36-45,女,20-50,0,2025-10-01
R43907,9780564139537,文学,36-45,男,50-100,0,2025-10-01
R81646,9780564139537,文学,26-35,女,50-100,0,2025-10-01
R82240,9782388496965,文学,26-35,女,20-50,1,2025-10-01
R68045,9782388496965,文学,36-45,女,20-50,0,2025-10-01
R23708,9782388496965,文学,46-55,男,20-50,0,2025-10-01
R91598,9782388496965,文学,55+,男,20-50,1,2025-10-01
R65336,9780122691669,文学,18-25,女,50-100,0,2025-10-01
R42633,9780122691669,文学,26-35,女,50-100,0,2025-10-01
R91073,9780122691669,文学,46-55,女,50-100,0,2025-10-01
R76417,9780122691669,文学,55+,男,50-100,0,2025-10-01
R21835,9780122691669,文学,36-45,男,50-100,0,2025-10-01
R24502,9781845146270,文学,26-35,女,50-100,1,2025-10-01
R57358,9781489325288,社科,36-45,男,50-100,0,2025-10-01
R15831,9781489325288,社科,36-45,女,50-100,0,2025-10-01
R20303,9781489325288,社科,36-45,女,50-100,0,2025-10-01
R39762,9781489325288,社科,36-45,男,50-100,0,2025-10-01
R42578,9781543039117,社科,36-45,男,50-100,0,2025-10-01
R26484,9781543039117,社科,26-35,女,50-100,1,2025-10-01
R52946,9781543039117,社科,36-45,女,50-100,0,2025-10-01
R87872,9787824896383,社科,36-45,男,50-100,0,2025-10-01
R42796,9788713315098,社科,26-35,男,50-100,1,2025-10-01
R59327,9788713315098,社科,26-35,男,50-100,0,2025-10-01
R45910,9788713315098,社科,36-45,男,50-100,0,2025-10-01
R82974,9788713315098,社科,26-35,女,50-100,0,2025-10-01
R63799,9788713315098,社科,18-25,男,50-100,1,2025-10-01
R51254,9780310518347,社科,26-35,女,50-100,0,2025-10-01
R68077,9780310518347,社科,36-45,男,50-100,0,2025-10-01
R84869,9780310518347,社科,36-45,男,50-100,0,2025-10-01
R76377,9787631165667,社科,55+,男,50-100,0,2025-10-01
R27151,9787631165667,社科,46-55,女,50-100,0,2025-10-01
R27145,9786513338726,社科,26-35,男,50-100,0,2025-10-01
R64884,9786513338726,社科,18-25,女,50-100,0,2025-10-01
R24208,9786513338726,社科,36-45,男,50-100,0,2025-10-01
R89723,9786513338726,社科,36-45,女,50-100,0,2025-10-01
R31006,9781781080132,社科,46-55,男,50-100,0,2025-10-01
R29943,9781781080132,社科,26-35,男,50-100,0,2025-10-01
R69234,9781781080132,社科,36-45,女,50-100,0,2025-10-01
R96067,9781781080132,社科,26-35,女,50-100,0,2025-10-01
R13637,9786026064746,社科,18-25,男,50-100,1,2025-10-01
R23096,9786026064746,社科,26-35,女,50-100,1,2025-10-01
R75976,9786026064746,社科,18-25,女,50-100,0,2025-10-01
R77773,9786026064746,社科,55+,男,50-100,0,2025-10-01
R11967,9784309805009,社科,26-35,男,50-100,1,2025-10-01
R61915,9784309805009,社科,26-35,男,50-100,0,2025-10-01
R83246,9784309805009,社科,46-55,女,50-100,1,2025-10-01
R32660,9784309805009,社科,36-45,男,50-100,0,2025-10-01
R56971,9784309805009,社科,18-25,男,50-100,0,2025-10-01
R68473,9788121913619,科技,55+,女,50-100,1,2025-10-01
R44487,9788121913619,科技,36-45,女,50-100,0,2025-10-01
R65704,9788121913619,科技,18-25,男,50-100,1,2025-10-01
R42929,9789985435346,科技,18-25,男,50-100,1,2025-10-01
R72747,9789985435346,科技,18-25,男,50-100,1,2025-10-01
R87167,9789985435346,科技,26-35,女,50-100,0,2025-10-01
R79768,9789985435346,科技,36-45,女,50-100,1,2025-10-01
R93303,9789985435346,科技,18-25,男,50-100,1,2025-10-01
R98047,9781079911838,科技,26-35,男,50-100,0,2025-10-01
R57451,9783542784980,科技,18-25,男,50-100,0,2025-10-01
R45173,9783542784980,科技,18-25,男,50-100,1,2025-10-01
R66260,9783542784980,科技,26-35,男,50-100,1,2025-10-01
R29089,9782411824493,科技,26-35,男,50-100,0,2025-10-01
R20053,9782411824493,科技,18-25,男,50-100,1,2025-10-01
R30206,9782411824493,科技,26-35,男,50-100,0,2025-10-01
R74389,9787401640052,科技,36-45,男,50-100,0,2025-10-01
R21123,9787401640052,科技,18-25,男,50-100,0,2025-10-01
R62185,9787401640052,科技,26-35,男,50-100,0,2025-10-01
R48465,9787401640052,科技,26-35,男,50-100,0,2025-10-01
R31804,9787401640052,科技,36-45,男,50-100,0,2025-10-01
R72224,9787868011280,科技,18-25,男,50-100,0,2025-10-01
R89526,9780450533158,科技,46-55,男,100+,0,2025-10-01
R14351,9783226025634,科技,26-35,男,50-100,0,2025-10-01
R40086,9783226025634,科技,26-35,女,50-100,1,2025-10-01
R53387,9780733754330,科技,46-55,男,50-100,0,2025-10-01
R11548,9780733754330,科技,26-35,男,50-100,1,2025-10-01
R67742,9781458685014,少儿,26-35,女,20-50,0,2025-10-01
R18776,9781458685014,少儿,36-45,男,20-50,0,2025-10-01
R32577,9781458685014,少儿,26-35,男,20-50,1,2025-10-01
R97821,9781458685014,少儿,26-35,男,20-50,0,2025-10-01
R37559,9789655698169,少儿,36-45,男,20-50,0,2025-10-01
R18645,9789655698169,少儿,36-45,女,20-50,0,2025-10-01
R69026,9789655698169,少儿,46-55,男,20-50,0,2025-10-01
R12040,9789655698169,少儿,26-35,男,20-50,0,2025-10-01
R97755,9789655698169,少儿,26-35,男,20-50,0,2025-10-01
R75842,9788835615951,少儿,36-45,女,50-100,0,2025-10-01
R80630,9788835615951,少儿,18-25,女,50-100,0,2025-10-01
R84435,9788835615951,少儿,36-45,女,50-100,0,2025-10-01
R79165,9788835615951,少儿,36-45,女,50-100,0,2025-10-01
R73077,9786564823662,少儿,26-35,女,50-100,0,2025-10-01
R72828,9786564823662,少儿,18-25,男,50-100,1,2025-10-01
R99263,9786564823662,少儿,26-35,男,50-100,1,2025-10-01
R80837,9780443699577,少儿,26-35,男,20-50,0,2025-10-01
R43113,9780443699577,少儿,46-55,男,20-50,1,2025-10-01
R36703,9780443699577,少儿,26-35,女,20-50,0,2025-10-01
R87646,9780443699577,少儿,36-45,女,20-50,0,2025-10-01
R41230,9780443699577,少儿,36-45,男,20-50,0,2025-10-01
R75531,9782148951343,少儿,36-45,女,50-100,1,2025-10-01
R30593,9782148951343,少儿,36-45,男,50-100,0,2025-10-01
R32597,9782148951343,少儿,36-45,男,50-100,0,2025-10-01
R16471,9782148951343,少儿,36-45,男,50-100,0,2025-10-01
R37799,9782148951343,少儿,46-55,男,50-100,1,2025-10-01
R33033,9783791769367,少儿,36-45,女,20-50,0,2025-10-01
R78422,9783791769367,少儿,26-35,男,20-50,0,2025-10-01
R76574,9781632870831,少儿,36-45,女,20-50,0,2025-10-01
R11468,9787986872774,少儿,36-45,女,50-100,0,2025-10-01
R47848,9783471434558,少儿,46-55,男,20-50,1,2025-10-01
R94037,9782316658760,教辅,26-35,男,20-50,0,2025-10-01
R16208,9782316658760,教辅,26-35,女,20-50,0,2025-10-01
R63564,9789096705466,教辅,18-25,男,50-100,0,2025-10-01
R98641,9789096705466,教辅,18-25,女,50-100,0,2025-10-01
R36025,9789096705466,教辅,18-25,女,50-100,0,2025-10-01
R33904,9784670656272,教辅,26-35,女,50-100,1,2025-10-01
R46562,9784670656272,教辅,26-35,女,50-100,0,2025-10-01
R87113,9784670656272,教辅,46-55,女,50-100,1,2025-10-01
R53438,9784670656272,教辅,26-35,男,50-100,1,2025-10-01
R65323,9789016272046,教辅,55+,男,50-100,1,2025-10-01
R94843,9789016272046,教辅,26-35,男,50-100,1,2025-10-01
R21343,9789016272046,教辅,55+,女,50-100,0,2025-10-01
R39464,9789016272046,教辅,26-35,女,50-100,0,2025-10-01
R62274,9786464170805,教辅,18-25,女,20-50,0,2025-10-01
R15499,9780330923271,教辅,26-35,男,50-100,0,2025-10-01
R83622,9780330923271,教辅,18-25,男,50-100,0,2025-10-01
R81858,9780330923271,教辅,18-25,男,50-100,1,2025-10-01
R59534,9780330923271,教辅,36-45,女,50-100,0,2025-10-01
R70176,9784529912419,教辅,18-25,女,20-50,0,2025-10-01
R80770,9784529912419,教辅,26-35,男,20-50,0,2025-10-01
R93267,9784529912419,教辅,18-25,女,20-50,0,2025-10-01
R99407,9784529912419,教辅,26-35,女,20-50,0,2025-10-01
R90526,9784529912419,教辅,18-25,女,20-50,1,2025-10-01
R20162,9783193149190,教辅,18-25,女,50-100,0,2025-10-01
R13063,9783193149190,教辅,18-25,男,50-100,0,2025-10-01
R12919,9783193149190,教辅,18-25,女,50-100,0,2025-10-01
R56990,9783193149190,教辅,18-25,男,50-100,0,2025-10-01
R20310,9788506716572,教辅,18-25,女,50-100,0,2025-10-01
R84925,9788506716572,教辅,36-45,男,50-100,1,2025-10-01
R19547,9788506716572,教辅,36-45,女,50-100,0,2025-10-01
R70367,9786945314737,教辅,18-25,女,50-100,0,2025-10-01
R73999,9781043321819,文学,46-55,女,20-50,0,2025-10-01
R19781,9781043321819,文学,36-45,女,20-50,1,2025-10-01
R87623,9783890838637,文学,26-35,女,20-50,0,2025-10-01
R44900,9783890838637,文学,18-25,男,20-50,1,2025-10-01
R72590,9783890838637,文学,36-45,女,20-50,0,2025-10-01
R68887,9783890838637,文学,36-45,男,20-50,1,2025-10-01
R44646,9783890838637,文学,26-35,女,20-50,0,2025-10-01
R55431,9786542351161,文学,26-35,女,20-50,0,2025-10-01
R15946,9786542351161,文学,36-45,女,20-50,0,2025-10-01
R26569,9786542351161,文学,26-35,女,20-50,1,2025-10-01
R26558,9786542351161,文学,26-35,女,20-50,0,2025-10-01
R10007,9786542351161,文学,26-35,男,20-50,0,2025-10-01
R38777,9780781618495,文学,36-45,女,20-50,0,2025-10-01
R63740,9780781618495,文学,26-35,男,20-50,0,2025-10-01
R32502,9780781618495,文学,46-55,女,20-50,1,2025-10-01
R71604,9780781618495,文学,26-35,女,20-50,0,2025-10-01
R10662,9783413164752,文学,46-55,男,20-50,1,2025-10-01
R95452,9783413164752,文学,26-35,男,20-50,0,2025-10-01
R33955,9783413164752,文学,26-35,女,20-50,1,2025-10-01
R65008,9781928327648,文学,18-25,女,20-50,1,2025-10-01
R81073,9781928327648,文学,26-35,男,20-50,0,2025-10-01
R17722,9780564139537,文学,18-25,女,20-50,0,2025-10-01
R58732,9782388496965,文学,26-35,女,20-50,0,2025-10-01
R70794,9782388496965,文学,36-45,女,20-50,0,2025-10-01
R96106,9782388496965,文学,26-35,女,20-50,1,2025-10-01
R20599,9782388496965,文学,26-35,女,20-50,0,2025-10-01
R57543,9782388496965,文学,18-25,男,20-50,1,2025-10-01
R27847,9780122691669,文学,36-45,男,50-100,1,2025-10-01
